matricula,nombre,paterno,materno,carrera,servicio
C89304625,JENNY,ESPUIG,CIOLAN,Licenciatura en Administración,31 DE JULIO DE 1983 AL 27 DE ENERO DE 1984
99304596,RUEL,CARLON,CUADRILLERO,Ingeniería en Electrónica,8 DE SEPTIEMBRE DE 2003 AL 6 DE MARZO DE 2004
C94301592,MIREN KARMELE,MORATA,ARASA,Ingeniería en Electrónica,13 DE OCTUBRE DE 2008 AL 11 DE ABRIL DE 2009
C17300112,NICOLE DAYANA,GOYOS,CAUDELI,Ingeniería en Electrónica,27 DE NOVIEMBRE DE 1986 AL 26 DE MAYO DE 1987
16303240,OLIVER DAVID,CAPUCHINO,PERIANES,Ingeniería en Sistemas Computacionales,10 DE OCTUBRE DE 2022 AL 8 DE ABRIL DE 2023
83301321,CELIA ELENA,PARAJUA,ALBISUA,Ingeniería Industrial,7 DE SEPTIEMBRE DE 2016 AL 6 DE MARZO DE 2017
C83307963,CHAKER,MARANGES,SANFIZ,Ingeniería en Electrónica,30 DE JUNIO DE 1976 AL 27 DE DICIEMBRE DE 1976
C87308867,SULTAN,TENIAS,BARTHE,Ingeniería Industrial,4 DE JUNIO DE 1998 AL 1 DE DICIEMBRE DE 1998
21308884,HUIHUI,ARRATE,MONASTERIO,Ingeniería en Electrónica,26 DE AGOSTO DE 1997 AL 22 DE FEBRERO DE 1998
07305339,JUAN GUILLERMO,CARALT,VINAGRE,Licenciatura en Contaduría,30 DE ABRIL DE 2010 AL 27 DE OCTUBRE DE 2010
90301797,FIONA MARIA,CABEZUELO,DE CARDENAS,Ingeniería Industrial,27 DE DICIEMBRE DE 1995 AL 24 DE JUNIO DE 1996
09307053,ANGEL ALVARO,BOUAZZAOUI,LAGUERA,Ingeniería Industrial,5 DE ENERO DE 1979 AL 4 DE JULIO DE 1979
C22305130,ANIKA,LECHE,PUEBLAS,Licenciatura en Administración,2 DE SEPTIEMBRE DE 1999 AL 29 DE FEBRERO DE 2000
17307608,MALINA,OSARO,GERGELY,Ingeniería en Sistemas Computacionales,17 DE AGOSTO DE 1983 AL 13 DE FEBRERO DE 1984
20303771,IRENE LUISA,HOUSNI,FORBES,Ingeniería Industrial,7 DE ABRIL DE 2006 AL 4 DE OCTUBRE DE 2006
C13300881,MANUELA VALLE,DE LA VIUDA,AGIRREZABALA,Ingeniería en Electrónica,24 DE SEPTIEMBRE DE 1985 AL 23 DE MARZO DE 1986
C03303773,ISIDRO DANIEL,RESINES,RUFI,Licenciatura en Contaduría,29 DE OCTUBRE DE 1982 AL 27 DE ABRIL DE 1983
10300674,MITKO,CALIX,BRACHO,Licenciatura en Contaduría,9 DE AGOSTO DE 1978 AL 5 DE FEBRERO DE 1979
C22308712,STEPHEN JOSEPH,GAVALDA,TRAORE,Ingeniería en Electrónica,9 DE ABRIL DE 1986 AL 6 DE OCTUBRE DE 1986
C99300801,ANDREA MARTA,CARDOZO,RIFI,Licenciatura en Contaduría,11 DE ABRIL DE 2002 AL 8 DE OCTUBRE DE 2002
C89300459,IVANIA,ROSCO,DOSANTOS,Ingeniería en Sistemas Computacionales,28 DE AGOSTO DE 2021 AL 24 DE FEBRERO DE 2022
83300992,EDGAR JOSE,MARRERO,ZUFIAUR,Ingeniería Industrial,19 DE MARZO DE 1989 AL 15 DE SEPTIEMBRE DE 1989
C95301318,GOHAR,MUSTEATA,PIQUET,Ingeniería Industrial,18 DE JULIO DE 2007 AL 14 DE ENERO DE 2008
04300394,ELORRI,PARRILLO,GURT,Licenciatura en Administración,14 DE DICIEMBRE DE 2016 AL 12 DE JUNIO DE 2017
C03303626,ADAM ROBERT,LOZADA,TOBARES,Ingeniería en Electrónica,14 DE DICIEMBRE DE 2001 AL 12 DE JUNIO DE 2002
C18309119,SARA PAULA,SALL,TEZANOS,Ingeniería en Sistemas Computacionales,4 DE AGOSTO DE 2020 AL 31 DE ENERO DE 2021
C11302696,EL HOCINE,BADER,FLORICA,Licenciatura en Administración,17 DE MAYO DE 1985 AL 13 DE NOVIEMBRE DE 1985
76303155,VIOREL NICOLAE,MARTINAVARRO,GIURCA,Ingeniería Industrial,5 DE AGOSTO DE 2013 AL 1 DE FEBRERO DE 2014
87307580,SHARA,PERLES,RUMBAU,Ingeniería en Electrónica,4 DE JUNIO DE 2013 AL 1 DE DICIEMBRE DE 2013
85308251,PENG,DE AGUIAR,LENGUA,Ingeniería en Electrónica,22 DE AGOSTO DE 1975 AL 18 DE FEBRERO DE 1976
C22304145,MARY BRIDGET,JIANU,MARS,Ingeniería Industrial,6 DE JULIO DE 1994 AL 2 DE ENERO DE 1995
C80301335,JEISON ANDRES,HERNANGOMEZ,ALABART,Licenciatura en Contaduría,18 DE AGOSTO DE 1976 AL 14 DE FEBRERO DE 1977
C99304261,NURIA INES,FORJAN,BOIZA,Ingeniería en Electrónica,31 DE DICIEMBRE DE 1979 AL 28 DE JUNIO DE 1980
09300837,DARWIN VINICIO,GALCERA,QUINTAIROS,Ingeniería Industrial,16 DE SEPTIEMBRE DE 1988 AL 15 DE MARZO DE 1989
89308066,ALINA FLORENTINA,RODES,ARCEO,Ingeniería en Electrónica,23 DE ENERO DE 2004 AL 21 DE JULIO DE 2004
89305681,JIMENA ALEXANDRA,PRECUP,CARAMES,Licenciatura en Contaduría,2 DE JULIO DE 2010 AL 29 DE DICIEMBRE DE 2010
96302227,ALBA ESTHER,BLUM,ESPINOSA DE LOS MONTEROS,Licenciatura en Administración,22 DE MARZO DE 1994 AL 18 DE SEPTIEMBRE DE 1994
99308259,ANA IOANA,LLUCIA,CORTIZO,Ingeniería en Sistemas Computacionales,19 DE OCTUBRE DE 2014 AL 17 DE ABRIL DE 2015
C89306866,CELINA,GRANDA,DIAZ BLANCO,Licenciatura en Administración,15 DE SEPTIEMBRE DE 1990 AL 14 DE MARZO DE 1991
98306178,IELTXU,NUBIOLA,GARTZIA,Ingeniería Industrial,24 DE MARZO DE 1996 AL 20 DE SEPTIEMBRE DE 1996
C77304437,DAMIAN AGUSTIN,EL GHOUFAIRI,PERALTA,Ingeniería Industrial,29 DE ENERO DE 2012 AL 27 DE JULIO DE 2012
97309724,PEDRO MIGUEL,AUSEJO,HUGHES,Licenciatura en Contaduría,14 DE SEPTIEMBRE DE 2015 AL 12 DE MARZO DE 2016
C78306790,JOSELIN,MOLINS,BENEDE,Licenciatura en Contaduría,24 DE JULIO DE 2016 AL 20 DE ENERO DE 2017
83305377,CARMEN JANET,CASCAJO,ZOLTAN,Ingeniería en Electrónica,21 DE NOVIEMBRE DE 2016 AL 20 DE MAYO DE 2017
C01306781,HICHAN,NAGEL,EZE,Ingeniería en Sistemas Computacionales,19 DE MARZO DE 1980 AL 15 DE SEPTIEMBRE DE 1980
C92302495,JORGE GABRIEL,VINYES,AGUILELLA,Ingeniería en Sistemas Computacionales,15 DE FEBRERO DE 2006 AL 14 DE AGOSTO DE 2006
88300567,DOMITILA,TRULLA,VERDEGAY,Licenciatura en Administración,2 DE OCTUBRE DE 1978 AL 31 DE MARZO DE 1979
C10306013,ALEXANDRU MADALIN,ALHAJA,MANTECA,Licenciatura en Administración,30 DE DICIEMBRE DE 1989 AL 28 DE JUNIO DE 1990
24309963,NICOLETA CATALINA,SABALZA,PESANTES,Licenciatura en Contaduría,31 DE DICIEMBRE DE 2022 AL 29 DE JUNIO DE 2023
99307365,ALOIS,TOS,EL YAHIAOUI,Ingeniería en Electrónica,4 DE ENERO DE 1993 AL 3 DE JULIO DE 1993
C11309421,TIFA,MAZORRIAGA,ALBISUA,Ingeniería Industrial,7 DE JUNIO DE 1996 AL 4 DE DICIEMBRE DE 1996
C83301071,CORNELIA MARIA,CORDEIRO,IONAS,Ingeniería en Electrónica,2 DE JUNIO DE 1986 AL 29 DE NOVIEMBRE DE 1986
C20303368,BENJAMIN ANTONIO,STELLA,SANTOLALLA,Licenciatura en Contaduría,18 DE JUNIO DE 1996 AL 15 DE DICIEMBRE DE 1996
79307710,MIREN UXUE,AVI,POLEO,Ingeniería en Sistemas Computacionales,6 DE JULIO DE 1995 AL 2 DE ENERO DE 1996
80309171,OSARIEMEN,PEREZ DE VARGAS,BENAMEUR,Ingeniería en Sistemas Computacionales,9 DE MARZO DE 2018 AL 5 DE SEPTIEMBRE DE 2018
C20301042,LUZMILA,MARZANA,ELOSEGUI,Licenciatura en Administración,8 DE JUNIO DE 1974 AL 5 DE DICIEMBRE DE 1974
C98302519,AMALIA LUISA,RODRIGUES,EL LYAZIDI,Ingeniería Industrial,31 DE MAYO DE 2014 AL 27 DE NOVIEMBRE DE 2014
C88308824,CHUNLAN,MORION,ESPELTA,Licenciatura en Contaduría,16 DE JULIO DE 2013 AL 12 DE ENERO DE 2014
C16308510,ANA CONSOLACION,SINGLA,ESONO,Licenciatura en Administración,25 DE MAYO DE 1985 AL 21 DE NOVIEMBRE DE 1985
75309973,PATRICIA CARLA,RAMIREZ,AFZAAL,Ingeniería Industrial,10 DE JULIO DE 2021 AL 6 DE ENERO DE 2022
02308218,SALVADOR DAVID,ALPAÑEZ,FLORENTINO,Licenciatura en Contaduría,22 DE DICIEMBRE DE 1994 AL 20 DE JUNIO DE 1995
C89309791,JEROBEL,PUJOLAR,USAR,Ingeniería en Electrónica,5 DE MARZO DE 2023 AL 1 DE SEPTIEMBRE DE 2023
06300754,EL MAHFOUD,DE SOUZA,ROCHELA,Ingeniería en Sistemas Computacionales,5 DE ABRIL DE 1996 AL 2 DE OCTUBRE DE 1996
C98300572,JULIO ESTEBAN,CAMINOS,NUNEZ,Licenciatura en Contaduría,30 DE ENERO DE 1996 AL 28 DE JULIO DE 1996
23307659,MARIA YARA,APESTEGUI,LIZANDRA,Ingeniería en Electrónica,4 DE OCTUBRE DE 1993 AL 2 DE ABRIL DE 1994
C83304328,RONALD,FONTAO,DJALO,Ingeniería en Electrónica,2 DE SEPTIEMBRE DE 2012 AL 1 DE MARZO DE 2013
C74303318,DAYANARA,AMILLS,BRUNS,Ingeniería en Sistemas Computacionales,10 DE AGOSTO DE 1981 AL 6 DE FEBRERO DE 1982
C12302342,JOSE CRISPIN,CHRISTENSEN,SANNICOLAS,Licenciatura en Contaduría,10 DE MARZO DE 1981 AL 6 DE SEPTIEMBRE DE 1981
86307577,OUTMANE,ZUFIAUR,MIRALPEIX,Licenciatura en Contaduría,26 DE MAYO DE 1995 AL 22 DE NOVIEMBRE DE 1995
83303644,ANGIE LORENA,BORRAJO,DE PALMA,Ingeniería Industrial,10 DE MAYO DE 1997 AL 6 DE NOVIEMBRE DE 1997
C91300293,CLAUDIA LETICIA,GALLINA,FERNANDEZ MARCOTE,Ingeniería en Sistemas Computacionales,12 DE ABRIL DE 1987 AL 9 DE OCTUBRE DE 1987
C77307243,MIRON,DE LA ROCA,ORTUBIA,Ingeniería en Sistemas Computacionales,15 DE MAYO DE 1995 AL 11 DE NOVIEMBRE DE 1995
80307387,REHMAN,BUERA,BELMAMOUN,Ingeniería en Sistemas Computacionales,29 DE SEPTIEMBRE DE 2020 AL 28 DE MARZO DE 2021
C21309437,JOHN FABER,STOYANOV,GALIANO,Ingeniería en Sistemas Computacionales,30 DE ABRIL DE 1989 AL 27 DE OCTUBRE DE 1989
96307484,GRAHAM MICHAEL,OTAL,ESTENAGA,Ingeniería en Electrónica,10 DE AGOSTO DE 1984 AL 6 DE FEBRERO DE 1985
C21305301,JOZEFA,CORCOVEANU,SEGURO,Licenciatura en Administración,22 DE ENERO DE 2003 AL 21 DE JULIO DE 2003
08300029,MARCO ANDRES,BASSOLS,CLADERA,Licenciatura en Administración,14 DE MARZO DE 1977 AL 10 DE SEPTIEMBRE DE 1977
07302704,CESAR MIGUEL,LIMAS,BADOS,Ingeniería en Electrónica,29 DE NOVIEMBRE DE 1988 AL 28 DE MAYO DE 1989
10308614,MATTI,PEÑALVO,SONET,Ingeniería Industrial,21 DE SEPTIEMBRE DE 1982 AL 20 DE MARZO DE 1983
C03306620,LUIS MELCHOR,HENRIQUES,BASHIR,Ingeniería en Electrónica,10 DE AGOSTO DE 1979 AL 6 DE FEBRERO DE 1980
C88301378,BRAIMA,CABEZA DE VACA,AGHBALOU,Licenciatura en Contaduría,22 DE DICIEMBRE DE 2008 AL 20 DE JUNIO DE 2009
C21306518,ANN MARIE,MISSAOUI,DE LA HIGUERA,Licenciatura en Administración,21 DE NOVIEMBRE DE 1986 AL 20 DE MAYO DE 1987
81302205,MIKELDI,RUIZ DE GORDOA,DONNAY,Ingeniería en Electrónica,25 DE AGOSTO DE 1990 AL 21 DE FEBRERO DE 1991
C23300287,TOMAS MARIANO,LOMBAS,OLASOLO,Ingeniería en Sistemas Computacionales,1 DE MAYO DE 1974 AL 28 DE OCTUBRE DE 1974
95307549,DUMITRA DANIELA,CIOCA,HANSSON,Ingeniería Industrial,23 DE MARZO DE 2017 AL 19 DE SEPTIEMBRE DE 2017
C89307827,SEILA MARIA,MASACHE,GREÑO,Licenciatura en Contaduría,17 DE JUNIO DE 1996 AL 14 DE DICIEMBRE DE 1996
82309223,ANDREEA ANA MARIA,ATOCHE,AUGE,Ingeniería en Electrónica,2 DE OCTUBRE DE 2019 AL 30 DE MARZO DE 2020
89306687,ELISA ANA,SUMOY,TUBIO,Licenciatura en Contaduría,23 DE SEPTIEMBRE DE 1996 AL 22 DE MARZO DE 1997
11306898,ROSA CRUZ,CAPO,ERRAFAI,Licenciatura en Administración,20 DE MARZO DE 1996 AL 16 DE SEPTIEMBRE DE 1996
17308328,ALEJANDRO SERGIO,AGIRRETXE,CHASCO,Licenciatura en Contaduría,16 DE DICIEMBRE DE 1974 AL 14 DE JUNIO DE 1975
C04305399,AVELINO JAVIER,ASCACIBAR,PEÑARROCHA,Ingeniería en Electrónica,28 DE ABRIL DE 2003 AL 25 DE OCTUBRE DE 2003
C90307617,JULIAN JOSE,MARINELLI,SINGEORZAN,Licenciatura en Contaduría,6 DE JUNIO DE 2007 AL 3 DE DICIEMBRE DE 2007
C74303879,LEONARDO ALEXANDER,LIAO,CEAUSU,Ingeniería en Electrónica,20 DE NOVIEMBRE DE 2004 AL 19 DE MAYO DE 2005
88300196,ELISA TERESA,KUMAR,REJANO,Ingeniería en Electrónica,3 DE JUNIO DE 2000 AL 30 DE NOVIEMBRE DE 2000
C03308393,PAULA TERESA,REMENTERIA,AMARIEI,Ingeniería en Electrónica,8 DE NOVIEMBRE DE 1987 AL 6 DE MAYO DE 1988
20304871,IONELA MIHAELA,PILDAIN,ARRUTI,Ingeniería Industrial,3 DE AGOSTO DE 2009 AL 30 DE ENERO DE 2010
21307357,LEOVIGILDA,SALOME,ABALDE,Licenciatura en Contaduría,19 DE MARZO DE 1984 AL 15 DE SEPTIEMBRE DE 1984
C77303174,SHAIMAA,FONCEA,OLIVART,Licenciatura en Contaduría,30 DE AGOSTO DE 1992 AL 26 DE FEBRERO DE 1993
C95301694,CAMILO ANTONIO,REDON,PARDILLOS,Ingeniería en Sistemas Computacionales,15 DE NOVIEMBRE DE 1981 AL 14 DE MAYO DE 1982
C25303931,ABEL FRANCISCO,BULIGA,BONOME,Licenciatura en Contaduría,5 DE JUNIO DE 2021 AL 2 DE DICIEMBRE DE 2021
07307641,ANNELI,PEREGRIN,EL AISSATI,Ingeniería Industrial,22 DE ABRIL DE 1989 AL 19 DE OCTUBRE DE 1989
C95306509,IULIA MIHAELA,ASENSI,GAUTIER,Ingeniería en Sistemas Computacionales,10 DE SEPTIEMBRE DE 2001 AL 9 DE MARZO DE 2002
04306788,VICENTE ABEL,UYARRA,ARPA,Ingeniería en Electrónica,4 DE OCTUBRE DE 2006 AL 2 DE ABRIL DE 2007
74307424,VICENTE FERMIN,NUEVALOS,EDWARDS,Ingeniería Industrial,4 DE SEPTIEMBRE DE 2019 AL 2 DE MARZO DE 2020
11300395,ADELA VICTORIA,VINUE,BEAR,Ingeniería en Electrónica,18 DE DICIEMBRE DE 1981 AL 16 DE JUNIO DE 1982
C06308890,ANA CANDIDA,SARRET,DURO,Ingeniería en Sistemas Computacionales,22 DE MARZO DE 2022 AL 18 DE SEPTIEMBRE DE 2022
23309856,MILO,MELIA,RAMADAN,Ingeniería Industrial,5 DE OCTUBRE DE 2008 AL 3 DE ABRIL DE 2009
23302519,PEDRO LAZARO,HORNERO,FERNANDEZ DE LAS HERAS,Ingeniería en Electrónica,18 DE JUNIO DE 2002 AL 15 DE DICIEMBRE DE 2002
10301182,KAREN FABIOLA,CONCHILLO,VERDU,Ingeniería en Electrónica,22 DE JULIO DE 1997 AL 18 DE ENERO DE 1998
C89307768,BAKARNE,ALAVEDRA,VENCES,Ingeniería Industrial,8 DE MAYO DE 2008 AL 4 DE NOVIEMBRE DE 2008
23306477,ENRIQUE FELIX,BAHADI,BOUJAADA,Licenciatura en Administración,22 DE FEBRERO DE 1983 AL 21 DE AGOSTO DE 1983
C91304345,MANUELA NATIVIDAD,BAYARRI,MINERO,Ingeniería en Sistemas Computacionales,8 DE SEPTIEMBRE DE 2016 AL 7 DE MARZO DE 2017
C79304123,ANTONIO ROBERTO,CORADO,IORDAN,Ingeniería Industrial,31 DE DICIEMBRE DE 1993 AL 29 DE JUNIO DE 1994
C12302815,ELENA GIANINA,VENEGAS,MORITO,Licenciatura en Contaduría,11 DE AGOSTO DE 2008 AL 7 DE FEBRERO DE 2009
20303721,JOAQUIN EDUARDO,ZALDUA,ARTASO,Ingeniería en Sistemas Computacionales,27 DE OCTUBRE DE 1991 AL 24 DE ABRIL DE 1992
06308806,LUCRECIA CARMEN,AMRAOUI,DARANAS,Ingeniería en Electrónica,21 DE MARZO DE 2012 AL 17 DE SEPTIEMBRE DE 2012
C84308697,AOUATEF,VIDAN,LANTERO,Ingeniería en Electrónica,22 DE FEBRERO DE 2011 AL 21 DE AGOSTO DE 2011
95307753,FENFEN,REMACHA,SILVO,Ingeniería en Sistemas Computacionales,2 DE AGOSTO DE 2024 AL 29 DE ENERO DE 2025
97304505,JUANA MARTINA,LUPAN,GATICA,Licenciatura en Administración,23 DE MAYO DE 1995 AL 19 DE NOVIEMBRE DE 1995
04301179,VANIA MARIA,MEDIEL,EL BOUAZZATI,Ingeniería en Sistemas Computacionales,27 DE ABRIL DE 1981 AL 24 DE OCTUBRE DE 1981
C99303014,CLAUDIA ALEXANDRA,LANERO,MORILLO,Licenciatura en Contaduría,17 DE AGOSTO DE 2003 AL 13 DE FEBRERO DE 2004
C77307026,NEREA CRISTINA,ALCUÑA,SERBAN,Licenciatura en Administración,18 DE AGOSTO DE 2021 AL 14 DE FEBRERO DE 2022
03309618,ESPERANZA CONCEPCION,ESTELRICH,MOLDERO,Ingeniería Industrial,6 DE AGOSTO DE 1995 AL 2 DE FEBRERO DE 1996
24301264,LETICIA ELIZABETH,BRI,MONTOY,Licenciatura en Administración,24 DE AGOSTO DE 2006 AL 20 DE FEBRERO DE 2007
C86302008,JUSTAS,IDIAZABAL,MESEJO,Ingeniería en Electrónica,29 DE ENERO DE 1978 AL 28 DE JULIO DE 1978
25303304,DAVINIA PINO,SARIÑENA,COLORADO,Ingeniería en Electrónica,16 DE SEPTIEMBRE DE 1983 AL 14 DE MARZO DE 1984
C06307502,RAHMAN,TOUZANI,CHITU,Ingeniería en Electrónica,14 DE OCTUBRE DE 2009 AL 12 DE ABRIL DE 2010
C13309700,SAMAN,IRAOLA,FERNANDEZ PALACIOS,Ingeniería Industrial,6 DE FEBRERO DE 2025 AL 5 DE AGOSTO DE 2025
C20300002,PAULA LORENA,LEA,HAMIDI,Ingeniería en Electrónica,7 DE ABRIL DE 1997 AL 4 DE OCTUBRE DE 1997
C88301952,JAVIER CLEMENTE,MACARRO,BERODIA,Ingeniería en Electrónica,13 DE JULIO DE 1978 AL 9 DE ENERO DE 1979
81301856,INES LUCIA,FERNANDEZ DE VELASCO,PRINCEP,Ingeniería en Electrónica,3 DE FEBRERO DE 1990 AL 2 DE AGOSTO DE 1990
88303346,NAAMA,WU,MORATILLA,Ingeniería en Electrónica,30 DE MAYO DE 2016 AL 26 DE NOVIEMBRE DE 2016
C99302311,BEATRIZ INES,ALDEANUEVA,VINCENT,Ingeniería en Electrónica,3 DE MAYO DE 1990 AL 30 DE OCTUBRE DE 1990
03304756,ZLATKA,GRAO,ALMACHI,Licenciatura en Contaduría,11 DE DICIEMBRE DE 1978 AL 9 DE JUNIO DE 1979
C03309205,LEE,STOLERU,SENAR,Licenciatura en Contaduría,3 DE JULIO DE 2017 AL 30 DE DICIEMBRE DE 2017
